Text,User,Date,Time
"RT @arcana_nexus: #sciencefiction #scifi #spaceship #starship #nook #IARTG  #Novel

Purchase the #books to support my work:
https://t.co/NK…",arcana_nexus,2023-05-01,07:38:57
"It's Semifinals Saturday‼️

🆚 No. 2 Fordham
🎾 #A10WTEN Semifinals
📍 Orlando, Fla. // USTA National Campus
⏰ 9 a.m.
🎥 https://t.co/yo25tWmifU
📊 https://t.co/p3WL4aiS1h

#Flagship 🚩 https://t.co/tkO0PnHcYQ",UMassTennis,2023-04-29,11:11:39
"The freshmen shined today! 🤩

Four Minutemen freshmen recorded career highs and collegiate firsts, as we take game one, 7-5, at St. Bonaventure!

📰 https://t.co/I26x9CwIFb

#Flagship 🚩 https://t.co/9F5A66scq1",UMassBaseball,2023-04-28,18:43:49
"A RBI single from Nolan Tichy helps extend our lead

M6 | UMass 5, St. Bonaventure 3

#Flagship 🚩",UMassBaseball,2023-04-28,16:03:23
"RT @UMassMLacrosse: 🚨Most Gifts Challenge🚨

Laxbacker Nation, we are calling on YOU to show up 11:00 a.m. - 12:00 p.m. &amp; help us win 🥇 the…",Nana93492588,2023-04-27,17:25:07
"🚨Most Gifts Challenge🚨

UMass Men's Basketball supporters we need YOU to show up between 11:00 a.m. - 12:00 p.m. &amp; help us win 🥇 the Most Gifts Challenge! Every gift matters!!🏀

#UMassGives #Flagship🚩

🔗https://t.co/i3Vt5Lb6xR https://t.co/9QdbhVuEoi",UMassMBB,2023-04-27,13:08:00
@gwmyers @UMassWBB @YolandaCole21 Thank you! Super happy to be joining the #Flagship🚩 fam!,a10_sambam,2023-04-26,19:27:12
"RT @UMass_XC_TF: Heather Palmer '02, has graciously committed a $5,000 gift to challenge other alumni to get involved. To learn more and su…",UMassAthletics,2023-04-26,13:29:57
"Standing more than 30 years later, this piece will endure for generations of UMass students and represent a powerful symbol of freedom, perseverance, and hope for all those who gaze upon it. #umass #umassamherst @WWLP22News https://t.co/kYDPcThl1f",MartyMeehan,2023-05-01,18:51:41
"“None of this would have been possible without the constant love and support from my incredible parents.""

Sophie Weller '23 | Sport Management and Sport Journalism | @SBS_UMass 

The #UMassAmherst #SeniorSeries2023 celebrates outstanding UMass students. https://t.co/GlUVH9l8fB",UMassAmherst,2023-05-03,18:00:23
"Laxbacker nation time is running out!! We are 2️⃣0️⃣ gifts away from reaching our goal of 1️⃣5️⃣0️⃣!! 

Let’s score big these last few hours of #UMassGives 🥍🦍

🔗 https://t.co/BZDN7xCf4c",UMassMLacrosse,2023-04-28,01:31:56
@NCM4Ever #umass almost alone mandating jabs in MA now. Tho my son got an exemption in less than a minute so why mandate?,gotagreatdog,2023-04-27,20:29:04
"UMass Memorial Medical Group Physicians is Hiring for a ACADEMIC GENERAL ANESTHESIOLOGIST - MARLBOROUGH CAMPUS.  #CovidHiring #PhysicianJobs #AcademicJobs #SurgeonJobs #MedicineJobs #HospitalJobs
@UMassMemorial @EricDicksonCEO @UMassMemorialHR #UMass
https://t.co/AeVuGhFUuB",UMassMDRecruit,2023-05-01,07:23:42
"Our starting lineup 🆚 Quinnipiac!

Skagerlind | CF
MacLean | 1B
Tichy | DH
Hanson | RF
Blumenthal | 3B
Hill | SS
Toth | C
Hoog | RF
Peters | 2B

Scott LeSieur gets the start on the mound!

#Flagship 🚩",UMassBaseball,2023-05-03,18:28:32
"Here's how you can watch today's action ⤵️

💻 https://t.co/zz2Ac8sGHc

#Flagship 🚩",UMassBaseball,2023-05-03,16:15:30
"Our lineup for game ✌️!

Skagerlind | CF
MacLean | 1B
Tichy | LF
Luttazi | DH
Hanson | RF
Blumenthal | 3B
Toth | C
Hill | SS
Pearsons | 2B

Taylor Perrett gets the ball first! ⚾️

#Flagship 🚩",UMassBaseball,2023-04-29,16:01:10
"The Bonnies score two in the bottom half of the inning to take the lead

E1 | St. Bonaventure 2, UMass 1

#Flagship 🚩",UMassBaseball,2023-04-28,14:29:08
"RT @UMassTennis: Head Coach @jcnunez17 sending a message from ☀️ Orlando, FL where UMass Tennis is competing in the A10 Championships!🎾

We…",Nana93492588,2023-04-27,22:45:44
"We're back at it in two days as we take on George Washington in a Friday home double header with first pitch at 12 p.m.

#Flagship 🚩 https://t.co/06P58ACOdl",UMassSoftball,2023-04-26,22:57:25
"Yesterday was fun! Let's do it again today! 😁

Check out these highlights from our 9-2 victory over Hartford! 👀🎥

#Flagship 🚩 https://t.co/XTnHNDZCfa",UMassBaseball,2023-04-26,11:19:24
"“John Lewis is a huge inspiration to me, so much so that I have Good Trouble tattooed on my arm.” 

Clare Sheedy '23 | Public Health | @UMassSPHHS

The #UMassAmherst #SeniorSeries2023 celebrates outstanding UMass students. https://t.co/0nQ4fbOiaH",UMassAmherst,2023-05-02,18:02:44
"RT @UMassHockey: Excited to start introducing our newest Minutemen joining us for the 2023-24 season...

First up - Forward Aydar Suniev wh…",Alonardoroy,2023-04-25,20:58:13
"Power Hour for World Librarians is going on NOW! Donate to our collaborators' worthy cause to give them a chance to win bonus money during #UMassGives!

Link: https://t.co/TgIX5OZWdJ https://t.co/OpslX3Z1qL https://t.co/oOwRZrmYSM",UMassLibraries,2023-04-27,17:41:29
"Head Coach @CoachReynolds25 has a message for you after a 10-5 WIN against Siena!⚾️

#UMassGives #Flagship 🚩

🔗https://t.co/d3BUxqGyct https://t.co/N93rexUeEE",UMassBaseball,2023-04-27,00:00:02
"Lints K's the side, in order, after allowing a leadoff walk! 🤯🤯

M7 | UMass 10, Siena 3

#Flagship 🚩 https://t.co/RpXwCGUf5H",UMassBaseball,2023-04-26,21:10:38
RT @diverse_schools: Check out this #UMass Magazine interview with NCSD Research Advisory Panel member @lindatropp @UMassAmherst about her…,lindatropp,2023-04-26,04:37:37
"Heather Palmer '02, has graciously committed a $5,000 gift to challenge other alumni to get involved. To learn more and support our programs visit:

🔗https://t.co/Y8uWlLUFB3

#UMassGives #Flagship🚩 https://t.co/JhirviH2sf",UMass_XC_TF,2023-04-26,13:15:00
"Up by one after one.

#GorillaLacrosse🦍 x #Flagship🚩 https://t.co/FOCWzXE7K1",UMassMLacrosse,2023-04-28,21:33:07
"For nearly 20 years, Heather Walker impacted the lives of countless Celtics players, through mentorship, leadership and most importantly, friendship. 

As part of the fabric of our organization, we proudly #Move4Heather. https://t.co/Rlwb58bE6c",celtics,2023-04-27,23:59:14
"RT @UMassAmherst: Happy 160th birthday, UMass! 

Here's to another 160 revolutionary years! 🎂 🎉 

Thanks for the amazing cake, @UMassDining…",umassengin,2023-05-01,18:05:08
"""She was terrific and gone way too early."" 

Doc Rivers gets emotional remembering Heather Walker 💚

#Move4Heather @celtics https://t.co/kSxOfOzhBP",NBCSCeltics,2023-05-01,22:31:05
"Blumenthal drives in Luttazi for his third RBI of the game💪

B6 | UMass 5, Hartford 0          

#Flagship🚩 https://t.co/I9orIrZrsX",UMassBaseball,2023-04-25,20:49:40
RT @SBS_UMass: @umassCLACLS Thank you to everyone supporting @umassCLACLS during #UMassGives and year-round! https://t.co/ZAZOiTBrWT https:…,umassCLACLS,2023-04-27,21:00:59
The SBS in DC #UMassGives Power Hour is happening now: 11 am - 12 noon ET! This important internship program connects SBS majors with @UMass alumni working in Washington DC. Give here &amp; help win a bonus: https://t.co/8TltKBzWdn https://t.co/S0Dxjfl9xa,SBS_UMass,2023-04-27,15:33:06
"UMass Memorial Medical Group Physicians is Hiring for a ACADEMIC CRITICAL CARE ANESTHESIOLOGIST.  #CovidHiring #PhysicianJobs #AcademicJobs #SurgeonJobs #MedicineJobs #HospitalJobs
@UMassMemorial @EricDicksonCEO @UMassMemorialHR #UMass
https://t.co/wzUbLAr64T #job",UMassMDRecruit,2023-04-25,23:23:42
"Do the things, CELTICS!🏀🍀 #CelticPride #Move4Heather #NBAPlayoffs #NBAonTNT #UnfinishedBusiness",HuskerVol,2023-04-27,23:40:08
"Spring Game Photo Dump ⤵️

#Flagship 🚩 https://t.co/GETkrrilv8",UMassFootball,2023-04-29,23:08:40
"We get on the board first with two unearned runs 

T3 | UMass 2, St. Bonaventure 0

#Flagship 🚩",UMassBaseball,2023-04-29,16:34:28
"The Minutewomen claimed 4 major #A10WLAX awards and placed 14 on all-conference teams on Wednesday.

Read up on the postseason award winners 👀⤵️

#Flagship 🚩
https://t.co/OFOA4T6le4",UMassLacrosse,2023-05-03,19:17:16
RT @MattxBrooks: Excited to be at the @UMassFootball Spring Game tomorrow! #flagship🚩 @ValdamarTBrower @Coach_Casula @coachalexmiller @Figh…,TheCursiveU,2023-04-29,03:10:06
"Olivia Packard's first career home run lifted us over George Washington on Friday afternoon as we split our double header against the Colonials

🔗 https://t.co/LvaxEscKJy

#Flagship 🚩 https://t.co/B10CGgsWJE",UMassSoftball,2023-04-28,22:34:38
"Bobcats strike first with a solo home run

E1 | Quinnipiac 1, UMass 0

#Flagship 🚩",UMassBaseball,2023-05-03,19:29:40
"Our #A10WLAX All-Academic Team selections 👀

#Flagship 🚩 https://t.co/4AOXr7y1JF",UMassLacrosse,2023-05-03,19:15:45
"Fiona is the #A10WLAX Offensive Player of the Week!

The senior posted a career-high 10 points (4 goals &amp; 6 assists) in Saturday’s win, marking the most points by an A-10 player since Feb. of 2021!

🔗 https://t.co/3VmQi1qqNJ

#Flagship 🚩 https://t.co/xkq83wQdAx",UMassLacrosse,2023-05-01,18:30:32
"Emma Farnham starts off the final quarter by scoring her second of the day!

4Q, 9:58 | #13 UMass 20, George Mason 4

#Flagship 🚩 https://t.co/7J7cy5R0bD",UMassLacrosse,2023-04-29,17:46:13
"MacLean hits a triple, before a sac fly from Tichy gives us another run!

M8 | UMass 7, St. Bonaventure 3

#Flagship 🚩",UMassBaseball,2023-04-28,16:40:17
"Paris Melberg scores her first of the season!

4Q, 5:10 | #13 UMass 21, George Mason 4

#Flagship 🚩 https://t.co/DvdA8xOrh8",UMassLacrosse,2023-04-29,17:51:00
"Fordham picks up the doubles point

We are ready to bounce back in singles play! 💪🎾

1️⃣ Krasakova/Senli 1-6 ❌
2️⃣ Hack/Napadiy 5-5 ↔️
3️⃣ Cannon/Jonglertrakul 4-6 ❌

#Flagship 🚩",UMassTennis,2023-04-29,13:48:26
"Krisch answers to regain our three-goal cushion! 

#GorillaLacrosse🦍 x #Flagship🚩 https://t.co/CQ7TkMMFuP",UMassMLacrosse,2023-04-28,22:48:08
"Singles Update: 

1️⃣Hack: 1-4 ⬇️
2️⃣Senli: 6-2, 0-0 ⬆️
3️⃣Kraskaova: 4-4 ↔️
4️⃣Napadiy: 6-2, 0-0 ⬆️
5️⃣ Jonglertrakul: 0-0 ↔️
6️⃣Akimova: 3-5 ⬇️

#Flagship 🚩",UMassTennis,2023-04-28,18:18:35
"@UMass_SBS_RISE Will you be one of the Final Five? 🏆 With just 45 minutes left to #UMassGives 2023, the SBS RISE Program fund needs only FIVE more gifts (of any amount) to complete the wonderful $25K match challenge from alumna Sharon Jackson Wilder '88! https://t.co/WC6okWCjfk",SBS_UMass,2023-04-28,03:16:47
"A 𝐇𝐔𝐆𝐄 congratulations to Nolan Tichy on being named a @CBNewspaper 𝐍𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐏𝐥𝐚𝐲𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐖𝐞𝐞𝐤!

📰 https://t.co/xxyTLeaJjZ

#Flagship 🚩 https://t.co/FbA6w3UzE6",UMassBaseball,2023-05-01,16:19:20
"This whole series was an extremely heavy lift on our creative team, but we got it done. 

Big s/o to @ac_sbe and our interns for the hard work putting these together. 

#Flagship 🚩 https://t.co/lI9SNLnBZD",ChrisPTucci,2023-05-01,15:42:22
Welcome back @SharonHartley_ to the #DayTime gig @BBCLancashire #allthefeels #MondayMotivation #Flagship #programme 📻🎵🎶🎶🎵🎵🎶👏👏👏👏👏👏👏👏👏👏👏👏 https://t.co/pJDHXZfVmO,AndrewNoble16,2023-04-24,09:21:35
"International NGOs in Decolonial Perspective: a conversation and reception -- TODAY, 5/1, 4pm ET, online and in person at the Old Chapel. RSVP &amp; get the Zoom link here: https://t.co/Ksn1aprDiO 
#umass #umassamherst #NGOs https://t.co/UnGFS36wco",SBS_UMass,2023-05-01,15:11:40
"From the class of 1919 to the class of 2019—a lot has changed in the past 100 years. You have an opportunity to help forge how #UMassAmherst looks for the next century. Give the future, #GiveHappy! https://t.co/0Quf6mIyS7

#UMassGives https://t.co/eW4l0Lbik6",UMassAmherst,2023-04-26,17:05:26
"Another BOMB from Bregman 🤩

#GorillaLacrosse🦍 x #Flagship🚩 https://t.co/H5Slcd8V9o",UMassMLacrosse,2023-04-28,22:14:16
"Hoynes tie things up before Hobart converts on the man up.

1-2 with 8:42 to go in the first.

#GorillaLacrosse🦍 x #Flagship🚩 https://t.co/rPBiOIoCnQ",UMassMLacrosse,2023-04-28,21:12:32
"Spring Game 🔜

🔗 https://t.co/2eyWRswl5W

#Flagship🚩 https://t.co/funm9WYq02",UMassFootball,2023-04-28,18:39:37
"Ready for singles action!💪

Here's how we are lining up⤵️

1️⃣Hack
2️⃣Senli
3️⃣Krasakova
4️⃣Napadiy
5️⃣Jonglertrakul
6️⃣Akimova

#Flagship",UMassTennis,2023-04-28,17:36:21
"Senior Day Saturday tomorrow! 🎓👀

🆚 George Mason
📍 Amherst, Mass.
⏰ 12 PM
📺 ESPN3

#Flagship 🚩
https://t.co/36PW86leSH",UMassLacrosse,2023-04-28,16:38:36
"In case you haven't heard, UMass Rowing is having a Blade Drive this #UMassGives!

Less than 2⃣0⃣blades remaining! Don't miss your chance, claim your blade now!

#UMassGives #Flagship🚩

🔗https://t.co/FoYM9bE302 https://t.co/YiYEdj0RTu",UMassRowing,2023-04-27,17:59:25
"🚨Most Gifts Challenge🚨

UMass Tennis supporters we need YOU to show up between 11:00 a.m. - 12:00 p.m. &amp; help us win 🥇 the Most Gifts Challenge! Every gift matters!!🎾

#UMassGives #Flagship🚩

🔗https://t.co/B6SpAipV8V https://t.co/dLzEKZV0XU",UMassTennis,2023-04-27,14:00:01
"RT @elogicalstech: #SimpleEnergy is launching its #flagship #electric scooter, the #Simple One, which can cover up to 300 km on a #singlech…",ElogicalsNR,2023-04-27,04:33:24
"1⃣Day Left to support your A10 Regular Season Champions!🏆

#UMassGives #Flagship🚩

🔗https://t.co/YWsAg0Ykvz https://t.co/e9fNfnu9Rk",UMassLacrosse,2023-04-27,04:30:00
"Have a day, @Ntichy22! 😎

Tichy records a career-best 2️⃣ home runs and a career high 6️⃣ RBI in our 10-5 victory over Siena!

📰 https://t.co/w0YmY08eXy

#Flagship 🚩 https://t.co/wAVZJAVrJk",UMassBaseball,2023-04-26,23:30:05
"A message from your Head Coach, Sean Clark!

#UMassGives #Flagship🚩

🔗https://t.co/3M34M6zs7p https://t.co/G7RPAecXyD",UMassSwimDive,2023-04-26,14:00:00
"Proud to announce we'll be teaming with @oofos to create a one-of-a-kind recovery center in the renovated Jim and Ellen Hunt Indoor Performance Center!

🔗 https://t.co/Loa0JmZ4IB

#Flagship🚩 https://t.co/hioC0TWpll",UMassAthletics,2023-04-25,14:00:03
"TODAY IS THE DAY! Happy #UMassGives 2023

Please visit the Berthiaume Center for Entrepreneurship’s UMassGives webpage  to make a gift today.

#UMassAmherst #UMassGives #Innovation #Entrepreneurship #UMassHustle #BerthiaumeCenterforEntrepreneurship #UMassAlum https://t.co/jdCQMdNRrt",E_HustleUMass,2023-04-26,15:10:11
"RT @UMassFootball: 🎥 Massachusetts Football: Inside Spring Camp - Episode 4

#Flagship 🚩 https://t.co/kILEyvUcLQ",sptirrel,2023-04-26,12:11:32
When you are leaving from @MiamiHEAT WIN and have been in #Hydelounge and #Flagship as it’s priceless! https://t.co/32oyc2sufB,CoinDiva_Sniper,2023-04-25,13:57:16
"RT @UMassAdmissions: We are 3️⃣ days away from College Decision Day, May 1! 
Say yes to @UMassAmherst, tag us in your admission decision po…",UMassCHC,2023-04-28,17:21:00
@umassCLACLS Thank you to everyone supporting @umassCLACLS during #UMassGives and year-round! https://t.co/ZAZOiTBrWT https://t.co/eTOPyTqhts,SBS_UMass,2023-04-27,17:58:40
"Go be great @ellism_2 ‼️

#Flagship 🚩 https://t.co/qOdSyqwVHk",ChrisPTucci,2023-05-01,14:35:17
"As Day 1⃣ of #UMassGives winds down, we want to say thank you to some of our incredible supporters!🏀

 #UMassGives #Flagship🚩

🔗https://t.co/9jNMGYiDbB https://t.co/hIj89JA8g7",UMassWBB,2023-04-27,03:00:03
Blessings In Abundance #Flagship,FlagshipDon,2023-04-24,09:22:35
"RT @UMassMBB: As Day 1⃣ of #UMassGives winds down, we want to say thank you to some of our incredible supporters!🏀 

#UMassGives #Flagship🚩…",LABCBasketball,2023-04-27,05:34:57
"Our #UMassGives Power Hour starts NOW! If we have the most individual donations of $5 or more from 2-3pm today, we will receive a bonus of $2,000! Donate here: https://t.co/fAm3ZacdHR https://t.co/1dHtbVzq1h",umasspolsci,2023-04-27,18:00:00
"We love your support! 750, here we come! #UMassGives #IsenbergGives https://t.co/DxOA7Mv8re https://t.co/Qw3KLnxI19",IsenbergUMass,2023-04-27,16:07:57
"Today's lineup 🆚 Siena!

Skagerlind | CF
MacLean | 1B
Tichy | LF
Luttazi | DH
Hanson | RF
Blumenthal | 3B
Hill | SS
Toth | C
Pearsons | 2B

Scott LeSieur gets the nod on the bump today!

#Flagship 🚩",UMassBaseball,2023-04-26,18:39:46
"RT @TheMassCo: Starting this book tonight. Written by #UMass Legend and @TheMassCo supporter @tmcla 🏀📚 

Buy here 👉 https://t.co/4Mp9T5gyRa…",tmcla,2023-05-03,01:21:48
RT @TheCursiveU: Former #UMass DL getting shot at the league. #UWereUAreUMass,wnahim,2023-05-02,21:47:18
"THANK YOU to all who have so generously contributed to this year’s #UMassGives campaign. Because of you, we had over 930 gifts during this 2-day period, and a spectacular total of nearly $1,130,000 to support our students! From our ❤️'s, thank you for your decision to #GiveHappy! https://t.co/D2OvxTQK4v",IsenbergUMass,2023-04-28,15:19:13
Hamden Hall (CT) TE holds a #UMass offer https://t.co/YFGIqtVLXm,FightMA247,2023-04-28,00:06:43
"Yeasrs ago, I took a great class about #FilmNoir at #UMass #Amherst with Jack Shadoian.  Check out his book ""Dreams and Dead Ends"".",katylab55,2023-05-03,14:38:21
RT @UMass: Don’t miss President @MartyMeehan &amp; Dr. J. Keith Motley tomorrow on @CityLine5 as they discuss the dedication of the @UMassBosto…,redz041,2023-04-30,00:32:20
NC native and Viper prospect holds a #UMass offer https://t.co/JPDAXgOX3J,FightMA247,2023-04-26,21:53:13
"Thank you, thank you, thank you for your support during #UMassGives 2023.


The Bethiaume Center and students are very grateful for your help making this years campaign a success.

#UMassGives #PowerHour #UmassAmherst #BerthiaumeCenterforEntrepreneurship https://t.co/HKS2RqwImQ",E_HustleUMass,2023-04-28,00:00:15
"RT @SBS_UMass: We’re so grateful for your support over the past two days. #UMassGives 2023 was a huge success for SBS, with over $360,000 r…",umasspolsci,2023-04-28,21:35:24
"UMass Memorial Medical Group Physicians is Hiring for a CLINICAL MD ENDOSCOPIST AND CLINICAL RESEARCHER.  #CovidHiring #PhysicianJobs #AcademicJobs #SurgeonJobs #MedicineJobs #HospitalJobs
@UMassMemorial @EricDicksonCEO @UMassMemorialHR #UMass
https://t.co/c9uQnqs3md #j",UMassMDRecruit,2023-05-03,15:23:42
"Doubles Update #️⃣1️⃣

1️⃣Senli/Krasakova: 3-1⬇️
2️⃣Hack/Napadiy: 3-1⬇️
3️⃣Cannon/Jonglertrakul: 3-2⬆️

#Flagship🚩",UMassTennis,2023-04-28,17:03:19
"4* 2025 wing Kiyan Anthony picks up a #UMass offer tonight

https://t.co/xjD0sKGAaR

The son of former Syracuse star Carmelo Anthony also holds Providence, George Mason offers along with one from his pop's alma mater https://t.co/aO2kCxfgVr",FightMA247,2023-04-29,03:09:49
"Interview with @joshwallace_12 !

#Flagship🚩 https://t.co/eF2dLakF55",UMassFootball,2023-04-29,16:53:19
