overall,reviewText,summary
1,I bought two pairs and they looked nothing like the photos. There are no laces or trim around the edges. They were plain and ugly so I shipped them back. Bait and switch!,I bought two pairs and they looked nothing like the photos
1,Poor.,One Star
1,Ripped the first time I wore them.,One Star
1,"wrong color, looks duel, just not a good buy",just not a good buy
1,Wish they had a size thirteen,One Star
1,"These shoes are so cheaply made that the heel broke the 2nd time I've worn it . Nice design , but horrible quality .",Cheap . Waste of money
1,"Poor quality, looks very cheap and small. The hood is a strange shape and size. I can't give this to my kid for Christmas.","Poor quality, looks very cheap and small"
1,Not really leather. Man made upper. Sole is supposedly made of leather.  Sent them back.,Not leather!
1,"Terrible print quality, very blurry and grainy. Disappointed with purchase.",One Star
1,I love these sandals so much but after 3 or 4 months they are bracken and falling apart where the ball of the foot is.  Im so sad.,Falling apart!
1,Nice bracelet BUT it's way to small for a guy. Unless you are 12 years old.,To small
1,Terrible terrible terrible. They aren't sewn properly so there is no place for the heel. So the boot slips off instantly. Two pairs and both were the same.,Don't waste your money
1,"I HAVE REVIEWED THIS ITEM 3 TIMES, YES 3 TIMES, I AM BORED WITH TELLING YOU IT WAS DREADFUL, POOR QUALITY, TOO  BUG EXPENSIVE TO RETURN AT $11.. WHEN IT  ONLY COST $22.

I WILL USE IT IN THE GARDEN",I AM BORED WITH TELLING YOU IT WAS DREADFUL
1,Ordered a large.. Fits my friends8 yr. old,Too small!
1,"While this blouse was very well made, it was really big compared for the size I ordered.  I did not know this product was coming from overseas, and probably would not have purchased it had I known that.  The size I ordered was 18 and I received a 20. It was so big on me that I just gave it away to one of my friends.  Since the size is so hard to judge, I would not purchase anything from this vendor again.",Way to big compared to US sizes.
1,"A Rip-Off...Is this a Joke!!!! Not the right color, Not even the right bag.... So pissed right now",RIP-OFF
1,"Skirt is pretty , but it's way too small. I ordered a size 2X and the skirt fits my daughter who wears a size 8. She really likes it",Size is way off
1,False advertisements the shirt at the top is super pink not light pink and its super small can even fit it. ,False advertisements the shirt at the top is super pink not light pink and its super small can ...
1,"I did not like the jacket, very cheap, i bought it for my son and the second time he wear it the zipper tap broke off.",I did not like the jacket
1,The bracelet broke in about 2 months.,One Star
1,"This watch is massive. The bracelet can fit two wrists in it and even if you get it re sized, it is so huge that it will make your arm fall off. Sadly it looks good in the picture, but in person the colors look so off. Combined with the weight and size, this watch is basically unwearable.",Massive!
1,"I have owned Coach bags for years.  I am very disappointed with this and I am going to return it.  First, it is much smaller inside.  It is supposed to be leather, but looks and feels like plastic.  It came with a Coach price tag, but this is not an authentic Coach purse.  It looks like a cheap knock off.",I am very disappointed with this and I am going to return it
1,"This product hails from china. The product is much to small and there sizes are misleading and of poor quality. There version of large did not  accommodate half my foot!!! Obviously,  this infer",The product is much to small and there sizes are misleading and of poor quality. There version of large did not accommodate ...
1,it fit as expected until I washed it.... then it was waaaaaay to small... got one use out of it. buy two sizes larger and dry it and it should fit ok.,it fit as expected until I washed it.. ...
1,"This item is not as good as in the picture, it has factory defect, and also on Amazon sniping prize was 6.95$ and when I ordered it became 9$",This item is not as good as in the picture
1,No shape. Too large,One Star
1,I needed to return mine. It's cute but I really don't think it'll hold one winter.,Sorry
1,I'm only giving this ring a one star because I received a 2 carat instead of the 3 carat I ordered :(,2 carat not 3 carat like it states in the details!
1,too large and not an option to choose the colour,One Star
1,"Disgusting. It doesn't even deserve one star, but I was forced into having to do one star in order to leave feedback.
This shirt is offensive and in very poor taste.",Disgusting. It doesn't even deserve one star
1,I've tried repeatedly to return this item.  I ordered it by mistake...having already ordered one from another vendor.,One Star
1,Poor quality,One Star
1,"Very nice looking sandal, however, not really wide and arch support was minimal.  Sent it back.",One Star
1,I got the wrong color!!! So damn sad and is hard for me to return it to amazone,So damn sad and is hard for me to return it to
1,I wore these for a week and was limping around for a week after. The stitching started to come apart as well. The footbeds do not offer any support and the soles are as hard as bricks.,Not worth the money
1,"poor quality. they were scuffed after a few hours. My daughter (3) is never rough on her shoes. But these shoes are not made for playgrounds, or any outdoor places.
Were not made with toddlers in mind.",Poor quality. Not made with toddlers in mind.
1,bad quality,bad quality
1,Once again if I could give a zero I would. It's was huge. Not even human size. It fit over a helmet!!!,Dealzip Inc hat
1,Was very poorly constructed.  Pic is just a piece of paper epoxied onto the necklace.  I returned it because it looked so cheap,Was very poorly constructed. Pic is just a piece ...
1,"See through,  ugh kinda trashy",One Star
1,Cheap knock-off version of the real thing!!,One Star
1,"Way too small,  a 4x fits like a 2x.",a 4x fits like a 2x
1,I do not like the fit of this coat. This coat is oversized.  Too long. I went down a size and it still fits my son like a dress.,I do not like the fit of this coat
1,These were VERY tight...I struggled to get them on ......the calf area was way too wide....it slapped while walking and was very noisy.  The width and length were very small compared to competitors....,These were VERY tight... I struggled to ...
1,"oops, I made a big mistake of ordering a non genuine leather  hand bag. My mistake  I don't like it at all, Ill pass it on to someone...",My mistake  I don't like it at all
1,Did not fit even though I ordered in my normal size.  I own other Frye Sandals that fit perfectly.  Had to return these.,Much too small for size!
1,Not at all what it seems. Agree with other reviewer that more of a shrug. I have no use for it.,Not at all what it seems. Agree with other ...
1,"These shirts are very poor quality, cannot wear them at all. It is totally waste of money. And they do not suggest to return because you need send them back to China. Very disappointed!!!!!!",Waste of money
1,"This suitcase has a higher quality handle and features than other Samsonite suitcases I have owned. Feels like a premium product however, after 4 or 5 flights both our carry-on and medium sized case have huge cracks in body. I could not recommend this case to anyone.",Cracks in case after 3 years
1,AWFUL..........not what I was expecting zipper came broke,One Star
1,i read cold gear and I thought the paints would have been lined. There not.  Plus they have a crazy design in the material.  Don't know what that's all about,i read cold gear and I thought the paints would ...
1,Ordered nose rings and got a gold chain...,Wrong item...
1,"Earrings broke the first day I wore them, guess you get what you pay for.",One Star
1,Smelled terrible. I could have made this at home,One Star
1,Expect extremely poor quality! Worn one time for less than two hours and the sleeves were extremely worn and picked just from normal movement. Terrible quality......don't waste your money!!,Terrible quality
1,"This bracelet has lovely beading, however the design is poorly made
The hooks on the end catch onto your clothes","This bracelet has lovely beading,"
1,fits a smalll child...junk,One Star
1,At least 2 sizes too small!,Seconds? Irregular?? 2 sizes too small!
1,Disappointed. Ball broke within 24 hours of wearing it,One Star
1,It heart,One Star
1,These are strictly junk not worth price one did not work the other one had a bad post on it.would not have given it one star don't buy them,Junck
1,Very thin material. Bought for my older daughter and my toddler uses it for a night shirt.,Fits very small
1,Looks nothing like the photo and took 6 weeks to get.,One Star
1,Not what I expected at all.  The material does not lay properly as in the picture off or on my body.  I'll only wear it around the house.,Misleading in photo
1,Not tailored at all. Ordered my small size.  Im curvy petite & this looked like a huge shapeless trash bag over me haha so be careful! Had to return,Had to return. Like big white bag
1,One of them looks like a V.,One Star
1,"Bought 3 of these from warehouse deals and one came without the additional brown strap another came with the pendulum completely loose without the screew that set it in its place (The pendulum is  the piece that can see from behind that moves when you move your wrist you to wind the watch and make it automatic)  The watch is very nice, but when you buy something you expect no less that what you see in the pictures shown.","... watch and make it automatic) The watch is very nice, but when you buy something you expect no ..."
1,"Way too narrow , returned them
Just way to uncomfortable to even keep",Too narrow
1,Said XL however fits like a small. How do I send it back for a larger size?,One Star
1,These shoes are cheap and extremely large.  They are over priced!  I do not recommend these shoes.,I do not recommend these shoes
1,"Was flimsy and by no means, an extra large size.",One Star
1,"In less than 2 months, the clock stopped working. I do not know if it is the battery. I feel cheated",The clock just work 2 months
1,these are completely sheer and they have you pay for the return! That's ridiculous I'm going to pay 4 dollars to return something that wasn't as described!,DONT BUY
1,"Poor materials for lettering. It's sticky after one wash and some of it peeled off.
Very upset about it. The color is beautiful on him though.",Poor materials for lettering
1,Poor quality. The shoe's sole came off after just wearing it for 6 months.,One Star
1,Product states 0-12 m but when you get it it's 12-24 m. Got this for Christmas present guess it'll work in three years. Sending back.,Need to correct the size
1,"Complete junk.  Not even an hour after taking it out of the package, it completely shredded at the seem.  Couldnt even wear it to the 80s party I was going to go to!",Poorly Made
1,Way too small.,small
1,Broke the first day it was wore.. The plastic chain is not sturdy,One Star
1,Sizes run way too small,Small
1,don't waste your money!!,One Star
1,Item is not as pictured at all.  This is a very low quality piece and fortunately I paid a very low price for it.  It isn't worth ordering.,This is a very low quality piece and fortunately I paid a very low price for it
1,"No where in description did it mention this was zipper tie, we did not receive tie that is pictured. Even worse, we have to pay shipping to return it.","Not the tie pictured, zip tie"
1,Poor quality,One Star
1,Looks different than expected,One Star
1,"It was way to small even though I got a size larger, didn't look like design either",not what I was hoping for
1,Cheap,One Star
1,I tried both clips and neither one stay on. It falls right off when you sit or stand. Seller won't give me a refund because it's unsanitary? It's not like it goes into my skin like a real piercing. That I would understand,Don't buy
1,The ring looks beautiful,One Star
1,these were TINY and felt like cardboard!!! Definitely not worth purchasing!,One Star
1,Wasn't what I expected. Three shoe was waay too small,not as advertised
1,"The sleeve is small, the size is smaller than the required one, and the cloth is generally bad, not like the picture","and the cloth is generally bad, not like the"
1,Small,negative
1,"Wrong fabric, wrong print, wrong drape, husband said ' Oh NO!""",Wrong
1,These shoes are made in Vietnam and are very narrow which makes them a not normal fit. Paid $48.00 for them and cost me$23.46 to mail back. Does that seem fair to you,These shoes are made in Vietnam and are very narrow ...
1,Wore these sandals for one day for a tour of the Biltmore Estate and the hill on the left Sandal fell apart. Not even worth what I paid for.,Not worth it
1,advertised as 100% cotton; turned out to be a polyester blend.  Donated it to the clothing collection at church. Just be honest!!!!!! I can buy crappy scarves in any store in my neighborhood.  Wanted a 100% cotton scarf for someone.,I can buy crappy scarves in any store in my neighborhood
1,"I ordered what should have been a proper size, even considering the Asian sizing, but it doesn't even reach halfway around my back. I literally cried when this didn't fit me. I think it would effectively compress you, but I would still order a size (or two!) larger than you normally would.","I ordered what should have been a proper size, ..."
1,Read a previous review that indicated that the shoes ran narrow.  They were correct.  Unless your foot is truly narrow you should steer clear of this shoe and possibly brand.,Read a previous review that indicated that the shoes ran ...
1,So small can't really tell what the stone is. Not what I expected,One Star
1,Top lacey part broke the first time I wore them..  such a waste of money and it took forever to get to me through shipping. WORST thing I ever bought of amazon.,AVOID
1,I would give it less than one star if possible. The logo/design peeled off the first time I washed it. The shirt was completely ruined. It is a cheap piece of crap. I have dozens of t-shirts and none of them have ever had the design disintegrate like this.,Don't waste your money
1,"the coat did not fit at all! the arms were too short and i could not close it. i am usually a med-large and i got an xlarge because they said i should go 1 size up. i would have to go 2-3 sizes up. it fit like a child's coat. when i tried to exchange it or return it, the seller said i should ""find another use for it, give it to someone else, or even donate it"" and that if i chose to send it back, they would not pay, or even split the cost of sending it back to china. it ended up not being cost effective to return it so i am stuck with a coat that does not fit. do not do business with this seller!!!!!
nice looking coat, though. i wish it fit.",DO NOT DO BUSINESS WITH THIS SELLER
1,I don't like the fact that there is no adjustable waist line,One Star
1,The size 6-8 runs really small. This shirt is for a 3 or 4 year old. My 7 year old son is small like the smallest in his class and this shirt was a belly top on him.,Not sized appropriately.
1,"I loved these but even 7.5 narrow was too wide :(
Returned them",One Star
1,not at all what i expected. all 3 bags were super small.  waste of money,all 3 bags were super small. waste of
1,The seams were not sewn well.  Not nearly as attractive as what it looks like online.,Not nearly as attractive as what it looks like online.
1,This is junk and hella small looks like a female watch Don't buy if u have a big forearm or have a Dw6900 g shock,This is junk and hella small looks like a female watch Don't buy if u have a ...
1,"Sizing was too vague. I ordered size 3 big kids. Ad calls them little/big kids. Obviously for a toddler. Disappointed and because these come from China, I can't return. Will have to resell locally. Sheesh.",Disappointed and because these come from China
1,"Cheaply made. Material is not cotton it's some sort of shiney polyester type of fabric. Also has a weird processed chemical smell. I find that anything you buy from China smells like this
  Its better paying full price for well made good clothing. Definitely got what I payed for. Cheap!",Don't Buy!
1,Turned my daughters finger green within 2 hours.,Turns skin green
1,I purchased this item three months ago. It was too small and I could see many threads on the cloth. I suspect this is not the genuine product.,I purchased this item three months ago. It was ...
1,Unfortunately I can't speak about either sweater from Leif Nelson. Although they make a beautiful looking items whom ever they used to handle there shipping did a very poor job. I don't see this as a reflection of Leif Nelson company or there product. Hopefully I can order some later,Although they make a beautiful looking items whom ever they used to handle there ...
1,The back pack is pretty and all but the straps are way too thin. The second day I'd using it it ripped off. This is something not to buy.,Floral backpack no good.
1,Falling apart after 6 months of use.  Very poor quality,Don't waste your money
1,Its made really cheap and fits weird,One Star
1,"theses shoes are made so horribly i don't even know how they could be selling them at all!
all the glue that is holding the shoe together is coming off and i never even wore them!
of course i want to return them but shipping it back would cost me $210! (back to china)",worst shoe ever!
1,had to give it away,One Star
1,Aweful  quaility! would never order again.,bad quaility! would never order again.
1,"Very disappointed...  I made the purchase believing I was going to get suede boots, and ended up with faux leather.",Disappointed. The pictures of these boots show two boots ...
1,Not at all what I was expecting.,One Star
1,Its Kids size not for adult,Its Kids size not for
1,Smaller than expected,One Star
1,"My original review was positive for these but I have to retract that.  After just two weeks of use (5 to 6 times wearing these) the frames broke.  They were not dropped,  not sat on or anything else the frame just cracked above and below the left lens.  A small Crack turned into a big Crack and now they are unstable and I am out $35. Don't buy these.

Update 8/22",Cheap frames
1,"Cheap!! Does  not clasp to belt and I'm not going to return this since it's probably going to cost me more money to send back than it's worth. I should of done this a month ago but  couldn't find the time. Why now?  Because tonighnI stepped on it in the closet  n it hurt. Like hellfire cause I stepped on the spike where there is suppose to be a ball or anchor to catch on leather belt hole.,  I'm going to try and sauter some sort of attachment so it will lock in place. however that probs won't work cause the damn thing is cheap pewter bullsh@t and  it's stupid and lame. It's my fault for thinking I could get a semi cool buckle for what. 08 cents? Ooh sorry like $12 bux. Last time.",Like hellfire cause I stepped on the spike where there ...
1,not comfort shoes let me down for brand FitFlop I never were it any more,One Star
1,much shorter than expected...returned. more like soccer shorts?  If that's what you need?  Not basketball length!,very short
1,Far smaller than anticipated and the color is awful.  I discarded it.,Would not buy again
1,"dont know if they sent me the wrong one  but the one i got was  made out of card board with some kind of fabric covering it , i sent it back",dont know if they sent me the wrong one but ...
1,"These are very fragile umbrellas.  The metal supports inside are very thin and bent right away. I would go as far as calling these ""single use umbrellas""

Stay away",Junk Umbrella
1,Thin not worth the money,Never again
1,"The fabric is stretchy so the fact that it runs small isn't completely tragic, however, it runs so short I felt like I was in a crop top. It barely hit my belly button.",Runs Short
1,"Although cute, this necklace was extremely small. After having this necklace for less than a month it broke in into two pieces. I am disappointed to say the least. I will or would not repurchase. This was not worth the money at all. In fact, this product should have been under $10. I Would not recommend!",Poor Quality and extremely small
1,"Very disappointed, I saved these sandals to wear until labor day weekend & the first day I wore them one of the diamonds fell off,  not the quality I thought they would be.",Diamond fell to quickly
1,"Very disappointed, I was looking forward to wearing this dress, spent money on something I can't even wear.",Very disappointed!!!!
1,"Poor quality for the cost and most annoying not enough chain to fit around my wife's small wrist.  4"" of chain.",Disapointing
1,Horrible...no pockets,One Star
1,I ordered this in a xl I'm guessing that means extra long because my baby sister is a true small and it fit her nice. However it was also too short for her. And the woman in the photo is taller and thicker than her,... sister is a true small and it fit her nice. However it was also too short for her
1,The shirt would be cute if it was made right.  The shirt I got had the pocket sewn on the wrong side and more towards the underarm.  It was a shame really because like I said it could be a really cute shirt.,It was a shame really because like I said it could be a really cute shirt
1,Bracelet is starting to turn/chip.,One Star
1,"these were super tight around the toes for the size, fit the calf nicely though",One Star
1,The clasp on this purse was tricky from the first day we got it.  After two months of it only working part of the time it no longer will clasp shut.  We've only had this purse for three months and for the price we paid it should of lasted MUCH longer!,The clasp on this purse was tricky from the first ...
1,Color faded. Not a very good product.,Not a very good product.
1,These are not a men's size. I had to give them to my nephew.,One Star
1,fell apart after one wear,One Star
1,Quality seems good but the arms are too big,Runs big
1,No stars for this one.  Very cheap looking in person and way too small.,No stars for this one. Very cheap looking in ...
1,OMG the most cheapest packaging I have seen from Amazon dealer.. it came in a bundle... fabric is cheap nothing like the picture.. its a beautiful model but the fabric lace which looks beautiful is cheap as hell.... Don't Buy It.,fabric is cheap nothing like the picture
1,The pins are extremely hard to get in an out to adjust the band. The band breaks all the time. The watch face cracked.,DON'T BUY IT
1,"NICE WATCH.. BUT I WORE IT AND GOT ALOT OF SCRATCHES TO IT ALREADY.. I HAVE A SIMILAR WATCH FROM TOMMY HILFIGHER AND I WEAR THAT ONE AT WORK ALWAYS AND NEVER GOT SCRATCHES LIKE THE ONE ON THIS WATCH.. NOW, IM THINKING IT MIGHT ME A FAKE. ITS STILL A NICE LOOKING WATCH BUT FOR $90 MORE I WOULD BUY FROM THE STORE. THIS WATCH MIGHT BE FAKE.",NICE WATCH.
1,"Do not like!

Sent back",One Star
1,Too frizzy.,One Star
1,"Gorgeous earrings but the opening for your ear lobe is too small. So, I tried to gently pry the earring apart a bit, but it bent and made a crease so they are no good. I broke them before I ever got to wear them.",but it bent and made a crease so they are no good. I broke them before I ever got to ...
1,FAKE PRODUCT,One Star
1,"The umbrella broke on my 3rd time out.  I was in the Chicago area.  The day it broke there were light winds.  A gust of about 20 to 25 mph came up.  Not only did it flip inside out, but the frame actually broke apart in several places.  Now it's in the trash.

I bought this item because I was attracted by the price and 8 other reviews - all 5 stars.  Huge mistake.  So disappointed.",Can I give it zero?
1,It doesnt look like the picture... don't buy it,One Star
1,We just received these yesterday and my son has worn one pair and they are completely shredded on the bottom. This is horrible quality.,Awful
1,This watch definitely looks great but it's an absolute piece of crap. My husband wore it and it broke on day two out of nowhere. Day 3 it started falling apart even more. If you want something that will last do not get this watch. Go to your local pawn shop. Waste of $35...,This watch definitely looks great but it's an absolute piece of crap
1,Size isn't a true 9 . Gave them away,One Star
1,"Very bad because it is not same the photo
It is not written selenator",One Star
1,Can't even put the shoe on,will be returning
1,THE STONE IS VERY DARK ALMOST LOOKS BLACK,DISAPPOINTED
1,Horrible. Spots on it. Returned it. They sent me another. That one was even worse. Looked used. Returned that one for a refund. Junk.,Horrible
1,This is an awesome shirt but my husband cannot wear it because it's too small. He would of needed a size bigger than he actually wears.,Too small
1,I love the colors in this top and was happy when it arrived only to find that it runs VERY small!  I'm a size 12/14 and so ordered the large which could I could not even get over my shoulders.  The material is also very sheer.,Disappointed
1,Yellow pretty much sums it up!! Looks cheap.. not even closely resembles color in pictures above. Will return =(,One Star
1,"Boots are 1/2 too small. Recipient is responsible for return shipping, which is not worth it as the cost is over $32.00. It's difficult to communicate with MZB Sports.",Boots are 1/2 too small. Recipient is responsible for ...
1,Plastic coating Started to change color,One Star
1,Very cheaply made,dont buy it
1,"I bought these to wear to a wedding. I was completely disappointed in this item. First the color was way off. It doesn't look like a sapphire blue item as pictured, it was a very dark navy blue almost black color. They appeared to be almost like plastic. No light was able to come through them which made them appear flat. They were also huge, not like small studs as they appear in the photo. This one goes in the trash. See attached photo with penny.",Not at all like the photo
1,"This item was listed as being made in the USA.  However, the label on the product says, ""Made in Korea.""  This is not the first time Amazon has been inaccurate with country of origin descriptions. These socks are beautiful; it's very disappointing to have to return them because of an inaccurate description.",NOT made in the USA!
1,"I read the reviews on sizing, so I ordered down half a size. I am normally an 8.5, so I ordered an 8. The shoe is literally at least another full size too large. I would exchange them, but Im afraid a seven will still be too big.",Too large
1,very uncomfortable.,One Star
1,"I bought from these guys previously, the shirts were great.  Ordered again, they are an entirely different shirt, the print is fuzzy (like it didn't dry or something) and they're way too small (like an XL is sized to fit a teenage asian girl).  I have no idea what happened, but I definitely won't order from them again.","Sizes off, terrible printing, different shirt... BOO"
1,"I returned these shoes.  So narrow, I couldn't get them completely on. I like the looks, but would like an adjustable, Velcro closing.",I like the looks
1,Returned. Didn't fit.  Some things u just have to try it on to determine size,One Star
1,Cheaply made (as should have guess by the price!) returned.,One Star
1,Fake leather. Had a chemical smell as soon as the box was opened.,Fake leather
1,"Its a Kids glasses.  Very unfitt for a Men.

Wasted money",Wasted money
1,Cheaply made but what can you expect when it was made in China by 10 year old children.,One Star
1,Dislike that the dress was the wrong color & size was false!,Poor
1,"I got this belt for Xmas and a month and a half later while I was sitting the belt literally broke in half. I am fairly skinny so there was no undo stress on the belt. They claim that this is a leather belt but below the "" leather"" veneer it is nothing more than cardboard. I will never buy one of their products again.",I got this belt for Xmas and a month and ...
1,The bow fell off in one wear.  I tried contacting the company and no one returned my emails.  Do not buy!!,The bow fell off in one wear. I tried ...
1,returned. was pretty but way too small.  at least 2-3 sizes smaller,was pretty but way too small
1,The stone is todo darme. Id like to change ir. Could be posible??,Id like to change ir
1,"It looks very  cute !
The first time I wash it the pants ripped
So now  I have a top without  a pants. ..",Ripped pants after first time washing
1,"Fell apart, had loose strings all over",Fell Apart
1,The hat is too big  for the baby. I ordered the infant size and I received the toddler size(It is too big for the toddler as well) . This hat is big enough I can wear it. I am returning it right away. It is also very expensive for what it is. Very disappointed.,Too big
1,looks sturdy but bad quality. One of the back straps broke within a month. My kid is in Kindergarten so never carried anything heavy. Please look elsewhere.,looks sturdy but bad quality
1,"A COMPLETE FRAUD, WHA A GET WAS A CHEEP COUNTERFEIT SUNGLASS",One Star
1,,One Star
1,Not what I expected..it is not form fitting...Material is not what I expected,One Star
1,To stretchy does not stay on well,One Star
1,And color fade super fast,One Star
1,Chain broke the first day I wore it. Very cheap jewlery,One Star
1,"It is a nice shoe but I received a size 7.5 and I wear a 9. Cannot wear it, will return",It is a nice shoe but I received a size 7
1,Bracelet received was not the same as pictured and ordered.  The bracelet was twisted links not fashioned links as indicated.  A little disappouinted.  This is the second item ordered but was not received.,Solid Bracelet
